Year,From,To,Score
2002,Switzerland,Macedonia,0
2002,Switzerland,Israel,1
2002,Switzerland,Sweden,0
2002,Switzerland,Finland,0
2002,Switzerland,Denmark,0
2002,Switzerland,Bosnia-Herzegovina,0
2002,Switzerland,Belgium,0
2002,Switzerland,France,10
2002,Switzerland,Germany,3
2002,Switzerland,Turkey,0
2002,Switzerland,Malta,4
2002,Switzerland,Romania,0
2002,Switzerland,Slovenia,2
2002,Switzerland,Latvia,8
2002,Switzerland,Lithuania,0
2002,Turkey,Cyprus,0
2002,Turkey,United Kingdom,2
2002,Turkey,Austria,12
2002,Turkey,Greece,0
2002,Turkey,Spain,0
2002,Turkey,Croatia,0
2002,Turkey,Russia,0
2002,Turkey,Estonia,8
2002,Turkey,Macedonia,0
2002,Turkey,Israel,0
2002,Turkey,Switzerland,0
2002,Turkey,Sweden,4
2002,Turkey,Finland,0
2002,Turkey,Denmark,1
2002,Turkey,Bosnia-Herzegovina,0
2002,Turkey,Belgium,10
2002,Turkey,France,0
2002,Turkey,Germany,3
2002,Turkey,Malta,5
2002,Turkey,Romania,7
2002,Turkey,Slovenia,0
2002,Turkey,Latvia,6
2002,Turkey,Lithuania,0
2002,United Kingdom,Cyprus,3
2002,United Kingdom,Austria,0
2002,United Kingdom,Greece,0
2002,United Kingdom,Spain,2
2002,United Kingdom,Croatia,0
2002,United Kingdom,Russia,0
2002,United Kingdom,Estonia,7
2002,United Kingdom,Macedonia,0
2002,United Kingdom,Israel,5
2002,United Kingdom,Switzerland,0
2002,United Kingdom,Sweden,1
2002,United Kingdom,Finland,0
2002,United Kingdom,Denmark,0
2002,United Kingdom,Bosnia-Herzegovina,0
2002,United Kingdom,Belgium,4
2002,United Kingdom,France,10
2002,United Kingdom,Germany,0
2002,United Kingdom,Turkey,0
2002,United Kingdom,Malta,12
2002,United Kingdom,Romania,0
2002,United Kingdom,Slovenia,6
2002,United Kingdom,Latvia,8
2002,United Kingdom,Lithuania,0
2003,Austria,Iceland,0
2003,Austria,Ireland,0
2003,Austria,Turkey,12
2003,Austria,Malta,0
2003,Austria,Bosnia-Herzegovina,7
2003,Austria,Portugal,0
2003,Austria,Croatia,5
2003,Austria,Cyprus,0
2003,Austria,Germany,1
2003,Austria,Russia,8
2003,Austria,Spain,0
2003,Austria,Israel,0
2003,Austria,Netherlands,0
2003,Austria,United Kingdom,0
2003,Austria,Ukraine,0
2003,Austria,Greece,0
2003,Austria,Norway,2
2003,Austria,France,0
2003,Austria,Poland,10
2003,Austria,Latvia,0
2003,Austria,Belgium,4
2003,Austria,Estonia,0
2003,Austria,Romania,6
2003,Austria,Sweden,3
2003,Austria,Slovenia,0
2003,Belgium,Iceland,3
2003,Belgium,Austria,2
2003,Belgium,Ireland,1
2003,Belgium,Turkey,12
2003,Belgium,Malta,0
2003,Belgium,Bosnia-Herzegovina,0
2003,Belgium,Portugal,0
2003,Belgium,Croatia,0
2003,Belgium,Cyprus,0
2003,Belgium,Germany,0
2003,Belgium,Russia,7
2003,Belgium,Spain,10
2003,Belgium,Israel,0
2003,Belgium,Netherlands,8
2003,Belgium,United Kingdom,0
2003,Belgium,Ukraine,0
2003,Belgium,Greece,0
2003,Belgium,Norway,6
2003,Belgium,France,0
2003,Belgium,Poland,5
2003,Belgium,Latvia,0
2003,Belgium,Estonia,0
2003,Belgium,Romania,0
2003,Belgium,Sweden,4
2003,Belgium,Slovenia,0
2003,Bosnia-Herzegovina,Iceland,0
2003,Bosnia-Herzegovina,Austria,5
2003,Bosnia-Herzegovina,Ireland,0
2003,Bosnia-Herzegovina,Turkey,12
2003,Bosnia-Herzegovina,Malta,0
2003,Bosnia-Herzegovina,Portugal,0
2003,Bosnia-Herzegovina,Croatia,6
2003,Bosnia-Herzegovina,Cyprus,0
2003,Bosnia-Herzegovina,Germany,0
2003,Bosnia-Herzegovina,Russia,3
2003,Bosnia-Herzegovina,Spain,0
2003,Bosnia-Herzegovina,Israel,0
2003,Bosnia-Herzegovina,Netherlands,2
2003,Bosnia-Herzegovina,United Kingdom,0
2003,Bosnia-Herzegovina,Ukraine,0
2003,Bosnia-Herzegovina,Greece,0
2003,Bosnia-Herzegovina,Norway,0
2003,Bosnia-Herzegovina,France,8
2003,Bosnia-Herzegovina,Poland,0
2003,Bosnia-Herzegovina,Latvia,0
2003,Bosnia-Herzegovina,Belgium,10
2003,Bosnia-Herzegovina,Estonia,0
2003,Bosnia-Herzegovina,Romania,7
2003,Bosnia-Herzegovina,Sweden,1
2003,Bosnia-Herzegovina,Slovenia,4
2003,Croatia,Iceland,6
2003,Croatia,Austria,5
2003,Croatia,Ireland,4
2003,Croatia,Turkey,10
2003,Croatia,Malta,0
2003,Croatia,Bosnia-Herzegovina,8
2003,Croatia,Portugal,0
2003,Croatia,Cyprus,0
2003,Croatia,Germany,0
2003,Croatia,Russia,12
2003,Croatia,Spain,7
2003,Croatia,Israel,0
2003,Croatia,Netherlands,0
2003,Croatia,United Kingdom,0
2003,Croatia,Ukraine,0
2003,Croatia,Greece,0
2003,Croatia,Norway,0
2003,Croatia,France,0
2003,Croatia,Poland,0
2003,Croatia,Latvia,0
2003,Croatia,Belgium,0
2003,Croatia,Estonia,0
2003,Croatia,Romania,1
2003,Croatia,Sweden,2
2003,Croatia,Slovenia,3
2003,Cyprus,Iceland,5
2003,Cyprus,Austria,4
2003,Cyprus,Ireland,7
2003,Cyprus,Turkey,8
2003,Cyprus,Malta,0
2003,Cyprus,Bosnia-Herzegovina,0
2003,Cyprus,Portugal,0
2003,Cyprus,Croatia,0
2003,Cyprus,Germany,0
2003,Cyprus,Russia,10
2003,Cyprus,Spain,6
2003,Cyprus,Israel,0
2003,Cyprus,Netherlands,0
2003,Cyprus,United Kingdom,0
2003,Cyprus,Ukraine,0
2003,Cyprus,Greece,12
2003,Cyprus,Norway,0
2003,Cyprus,France,0
2003,Cyprus,Poland,0
2003,Cyprus,Latvia,0
2003,Cyprus,Belgium,3
2003,Cyprus,Estonia,0
2003,Cyprus,Romania,2
2003,Cyprus,Sweden,1
2003,Cyprus,Slovenia,0
2003,Estonia,Iceland,1
2003,Estonia,Austria,6
2003,Estonia,Ireland,0
2003,Estonia,Turkey,0
2003,Estonia,Malta,0
2003,Estonia,Bosnia-Herzegovina,0
2003,Estonia,Portugal,0
2003,Estonia,Croatia,0
2003,Estonia,Cyprus,0
2003,Estonia,Germany,2
2003,Estonia,Russia,12
2003,Estonia,Spain,0
2003,Estonia,Israel,0
2003,Estonia,Netherlands,0
2003,Estonia,United Kingdom,0
2003,Estonia,Ukraine,3
2003,Estonia,Greece,0
2003,Estonia,Norway,10
2003,Estonia,France,0
2003,Estonia,Poland,4
2003,Estonia,Latvia,5
2003,Estonia,Belgium,8
2003,Estonia,Romania,0
2003,Estonia,Sweden,7
2003,Estonia,Slovenia,0
2003,France,Iceland,1
2003,France,Austria,0
2003,France,Ireland,0
2003,France,Turkey,10
2003,France,Malta,0
2003,France,Bosnia-Herzegovina,0
2003,France,Portugal,6
2003,France,Croatia,0
2003,France,Cyprus,0
2003,France,Germany,0
2003,France,Russia,7
2003,France,Spain,0
2003,France,Israel,8
2003,France,Netherlands,0
2003,France,United Kingdom,0
2003,France,Ukraine,0
2003,France,Greece,0
2003,France,Norway,3
2003,France,Poland,5
2003,France,Latvia,0
2003,France,Belgium,12
2003,France,Estonia,0
2003,France,Romania,4
2003,France,Sweden,2
2003,France,Slovenia,0
2003,Germany,Iceland,1
2003,Germany,Austria,2
2003,Germany,Ireland,0
2003,Germany,Turkey,10
2003,Germany,Malta,0
2003,Germany,Bosnia-Herzegovina,0
2003,Germany,Portugal,0
2003,Germany,Croatia,0
2003,Germany,Cyprus,0
2003,Germany,Russia,8
2003,Germany,Spain,0
2003,Germany,Israel,0
2003,Germany,Netherlands,0
2003,Germany,United Kingdom,0
2003,Germany,Ukraine,0
2003,Germany,Greece,5
2003,Germany,Norway,7
2003,Germany,France,0
2003,Germany,Poland,12
2003,Germany,Latvia,0
2003,Germany,Belgium,6
2003,Germany,Estonia,0
2003,Germany,Romania,4
2003,Germany,Sweden,3
2003,Germany,Slovenia,0
2003,Greece,Iceland,0
2003,Greece,Austria,2
2003,Greece,Ireland,0
2003,Greece,Turkey,7
2003,Greece,Malta,0
2003,Greece,Bosnia-Herzegovina,0
2003,Greece,Portugal,0
2003,Greece,Croatia,1
2003,Greece,Cyprus,12
2003,Greece,Germany,0
2003,Greece,Russia,10
2003,Greece,Spain,5
2003,Greece,Israel,3
2003,Greece,Netherlands,0
2003,Greece,United Kingdom,0
2003,Greece,Ukraine,0
2003,Greece,Norway,0
2003,Greece,France,0
2003,Greece,Poland,6
2003,Greece,Latvia,0
2003,Greece,Belgium,8
2003,Greece,Estonia,0
2003,Greece,Romania,4
2003,Greece,Sweden,0
2003,Greece,Slovenia,0
2003,Iceland,Austria,10
2003,Iceland,Ireland,2
2003,Iceland,Turkey,3
2003,Iceland,Malta,0
2003,Iceland,Bosnia-Herzegovina,0
2003,Iceland,Portugal,0
2003,Iceland,Croatia,0
2003,Iceland,Cyprus,0
2003,Iceland,Germany,8
2003,Iceland,Russia,4
2003,Iceland,Spain,6
2003,Iceland,Israel,0
2003,Iceland,Netherlands,0
2003,Iceland,United Kingdom,0
2003,Iceland,Ukraine,0
2003,Iceland,Greece,0
2003,Iceland,Norway,12
2003,Iceland,France,0
2003,Iceland,Poland,0
2003,Iceland,Latvia,0
2003,Iceland,Belgium,7
2003,Iceland,Estonia,1
2003,Iceland,Romania,0
2003,Iceland,Sweden,5
2003,Iceland,Slovenia,0
2003,Ireland,Iceland,7
2003,Ireland,Austria,0
2003,Ireland,Turkey,0
2003,Ireland,Malta,3
2003,Ireland,Bosnia-Herzegovina,0
2003,Ireland,Portugal,2
2003,Ireland,Croatia,6
2003,Ireland,Cyprus,0
2003,Ireland,Germany,4
2003,Ireland,Russia,0
2003,Ireland,Spain,0
2003,Ireland,Israel,0
2003,Ireland,Netherlands,5
2003,Ireland,United Kingdom,0
2003,Ireland,Ukraine,0
2003,Ireland,Greece,1
2003,Ireland,Norway,12
2003,Ireland,France,0
2003,Ireland,Poland,0
2003,Ireland,Latvia,0
2003,Ireland,Belgium,10
2003,Ireland,Estonia,8
2003,Ireland,Romania,0
2003,Ireland,Sweden,0
2003,Ireland,Slovenia,0
2003,Israel,Iceland,0
2003,Israel,Austria,0
2003,Israel,Ireland,0
2003,Israel,Turkey,7
2003,Israel,Malta,0
2003,Israel,Bosnia-Herzegovina,0
2003,Israel,Portugal,0
2003,Israel,Croatia,0
2003,Israel,Cyprus,1
2003,Israel,Germany,0
2003,Israel,Russia,10
2003,Israel,Spain,12
2003,Israel,Netherlands,2
2003,Israel,United Kingdom,0
2003,Israel,Ukraine,4
2003,Israel,Greece,0
2003,Israel,Norway,3
2003,Israel,France,0
2003,Israel,Poland,0
2003,Israel,Latvia,0
2003,Israel,Belgium,8
2003,Israel,Estonia,0
2003,Israel,Romania,6
2003,Israel,Sweden,5
2003,Israel,Slovenia,0
2003,Latvia,Iceland,3
2003,Latvia,Austria,4
2003,Latvia,Ireland,1
2003,Latvia,Turkey,0
2003,Latvia,Malta,0
2003,Latvia,Bosnia-Herzegovina,0
2003,Latvia,Portugal,0
2003,Latvia,Croatia,0
2003,Latvia,Cyprus,0
2003,Latvia,Germany,2
2003,Latvia,Russia,12
2003,Latvia,Spain,0
2003,Latvia,Israel,0
2003,Latvia,Netherlands,0
2003,Latvia,United Kingdom,0
2003,Latvia,Ukraine,5
2003,Latvia,Greece,0
2003,Latvia,Norway,7
2003,Latvia,France,0
2003,Latvia,Poland,8
2003,Latvia,Belgium,10
2003,Latvia,Estonia,0
2003,Latvia,Romania,0
2003,Latvia,Sweden,6
2003,Latvia,Slovenia,0
2003,Malta,Iceland,12
2003,Malta,Austria,0
2003,Malta,Ireland,5
2003,Malta,Turkey,4
2003,Malta,Bosnia-Herzegovina,0
2003,Malta,Portugal,0
2003,Malta,Croatia,0
2003,Malta,Cyprus,2
2003,Malta,Germany,3
2003,Malta,Russia,1
2003,Malta,Spain,0
2003,Malta,Israel,0
2003,Malta,Netherlands,7
2003,Malta,United Kingdom,0
2003,Malta,Ukraine,0
2003,Malta,Greece,0
2003,Malta,Norway,6
2003,Malta,France,0
2003,Malta,Poland,10
2003,Malta,Latvia,0
2003,Malta,Belgium,0
2003,Malta,Estonia,0
2003,Malta,Romania,0
2003,Malta,Sweden,8
2003,Malta,Slovenia,0
2003,Netherlands,Iceland,6
2003,Netherlands,Austria,8
2003,Netherlands,Ireland,0
2003,Netherlands,Turkey,12
2003,Netherlands,Malta,0
2003,Netherlands,Bosnia-Herzegovina,0
2003,Netherlands,Portugal,0
2003,Netherlands,Croatia,0
2003,Netherlands,Cyprus,0
2003,Netherlands,Germany,2
2003,Netherlands,Russia,1
2003,Netherlands,Spain,5
2003,Netherlands,Israel,0
2003,Netherlands,United Kingdom,0
2003,Netherlands,Ukraine,0
2003,Netherlands,Greece,0
2003,Netherlands,Norway,7
2003,Netherlands,France,0
2003,Netherlands,Poland,4
2003,Netherlands,Latvia,0
2003,Netherlands,Belgium,10
2003,Netherlands,Estonia,0
2003,Netherlands,Romania,0
2003,Netherlands,Sweden,3
2003,Netherlands,Slovenia,0
2003,Norway,Iceland,12
2003,Norway,Austria,8
2003,Norway,Ireland,6
2003,Norway,Turkey,10
2003,Norway,Malta,0
2003,Norway,Bosnia-Herzegovina,0
2003,Norway,Portugal,0
2003,Norway,Croatia,0
2003,Norway,Cyprus,0
2003,Norway,Germany,0
2003,Norway,Russia,2
2003,Norway,Spain,0
2003,Norway,Israel,0
2003,Norway,Netherlands,5
2003,Norway,United Kingdom,0
2003,Norway,Ukraine,0
2003,Norway,Greece,0
2003,Norway,France,0
2003,Norway,Poland,4
2003,Norway,Latvia,0
2003,Norway,Belgium,3
2003,Norway,Estonia,0
2003,Norway,Romania,1
2003,Norway,Sweden,7
2003,Norway,Slovenia,0
2003,Poland,Iceland,1
2003,Poland,Austria,0
2003,Poland,Ireland,0
2003,Poland,Turkey,2
2003,Poland,Malta,0
2003,Poland,Bosnia-Herzegovina,0
2003,Poland,Portugal,0
2003,Poland,Croatia,0
2003,Poland,Cyprus,0
2003,Poland,Germany,5
2003,Poland,Russia,4
2003,Poland,Spain,0
2003,Poland,Israel,0
2003,Poland,Netherlands,0
2003,Poland,United Kingdom,0
2003,Poland,Ukraine,10
2003,Poland,Greece,0
2003,Poland,Norway,6
2003,Poland,France,3
2003,Poland,Latvia,0
2003,Poland,Belgium,12
2003,Poland,Estonia,0
2003,Poland,Romania,8
2003,Poland,Sweden,7
2003,Poland,Slovenia,0
2003,Portugal,Iceland,0
2003,Portugal,Austria,10
2003,Portugal,Ireland,7
2003,Portugal,Turkey,8
2003,Portugal,Malta,1
2003,Portugal,Bosnia-Herzegovina,0
2003,Portugal,Croatia,0
2003,Portugal,Cyprus,0
2003,Portugal,Germany,0
2003,Portugal,Russia,4
2003,Portugal,Spain,12
2003,Portugal,Israel,0
2003,Portugal,Netherlands,0
2003,Portugal,United Kingdom,0
2003,Portugal,Ukraine,0
2003,Portugal,Greece,0
2003,Portugal,Norway,5
2003,Portugal,France,2
2003,Portugal,Poland,0
2003,Portugal,Latvia,0
2003,Portugal,Belgium,6
2003,Portugal,Estonia,0
2003,Portugal,Romania,0
2003,Portugal,Sweden,3
2003,Portugal,Slovenia,0
2003,Romania,Iceland,0
2003,Romania,Austria,0
2003,Romania,Ireland,0
2003,Romania,Turkey,10
2003,Romania,Malta,0
2003,Romania,Bosnia-Herzegovina,0
2003,Romania,Portugal,0
2003,Romania,Croatia,0
2003,Romania,Cyprus,0
2003,Romania,Germany,1
2003,Romania,Russia,7
2003,Romania,Spain,5
2003,Romania,Israel,0
2003,Romania,Netherlands,0
2003,Romania,United Kingdom,0
2003,Romania,Ukraine,0
2003,Romania,Greece,2
2003,Romania,Norway,3
2003,Romania,France,6
2003,Romania,Poland,4
2003,Romania,Latvia,0
2003,Romania,Belgium,8
2003,Romania,Estonia,0
2003,Romania,Sweden,12
2003,Romania,Slovenia,0
2003,Russia,Iceland,0
2003,Russia,Austria,0
2003,Russia,Ireland,0
2003,Russia,Turkey,0
2003,Russia,Malta,0
2003,Russia,Bosnia-Herzegovina,0
2003,Russia,Portugal,0
2003,Russia,Croatia,0
2003,Russia,Cyprus,0
2003,Russia,Germany,7
2003,Russia,Spain,6
2003,Russia,Israel,5
2003,Russia,Netherlands,10
2003,Russia,United Kingdom,0
2003,Russia,Ukraine,8
2003,Russia,Greece,1
2003,Russia,Norway,4
2003,Russia,France,0
2003,Russia,Poland,0
2003,Russia,Latvia,0
2003,Russia,Belgium,3
2003,Russia,Estonia,2
2003,Russia,Romania,12
2003,Russia,Sweden,0
2003,Russia,Slovenia,0
2003,Slovenia,Iceland,4
2003,Slovenia,Austria,7
2003,Slovenia,Ireland,2
2003,Slovenia,Turkey,10
2003,Slovenia,Malta,0
2003,Slovenia,Bosnia-Herzegovina,0
2003,Slovenia,Portugal,0
2003,Slovenia,Croatia,8
2003,Slovenia,Cyprus,0
2003,Slovenia,Germany,0
2003,Slovenia,Russia,12
2003,Slovenia,Spain,1
2003,Slovenia,Israel,0
2003,Slovenia,Netherlands,0
2003,Slovenia,United Kingdom,0
2003,Slovenia,Ukraine,0
2003,Slovenia,Greece,0
2003,Slovenia,Norway,5
2003,Slovenia,France,0
2003,Slovenia,Poland,0
2003,Slovenia,Latvia,0
2003,Slovenia,Belgium,3
2003,Slovenia,Estonia,0
2003,Slovenia,Romania,0
2003,Slovenia,Sweden,6
2003,Spain,Iceland,0
2003,Spain,Austria,8
2003,Spain,Ireland,0
2003,Spain,Turkey,3
2003,Spain,Malta,0
2003,Spain,Bosnia-Herzegovina,0
2003,Spain,Portugal,2
2003,Spain,Croatia,0
2003,Spain,Cyprus,0
2003,Spain,Germany,4
2003,Spain,Russia,6
2003,Spain,Israel,1
2003,Spain,Netherlands,0
2003,Spain,United Kingdom,0
2003,Spain,Ukraine,0
2003,Spain,Greece,0
2003,Spain,Norway,0
2003,Spain,France,0
2003,Spain,Poland,5
2003,Spain,Latvia,0
2003,Spain,Belgium,12
2003,Spain,Estonia,0
2003,Spain,Romania,10
2003,Spain,Sweden,7
2003,Spain,Slovenia,0
2003,Sweden,Iceland,7
2003,Sweden,Austria,6
2003,Sweden,Ireland,0
2003,Sweden,Turkey,8
2003,Sweden,Malta,0
2003,Sweden,Bosnia-Herzegovina,0
2003,Sweden,Portugal,0
2003,Sweden,Croatia,0
2003,Sweden,Cyprus,0
2003,Sweden,Germany,10
2003,Sweden,Russia,2
2003,Sweden,Spain,4
2003,Sweden,Israel,0
2003,Sweden,Netherlands,5
2003,Sweden,United Kingdom,0
2003,Sweden,Ukraine,0
2003,Sweden,Greece,0
2003,Sweden,Norway,12
2003,Sweden,France,0
2003,Sweden,Poland,3
2003,Sweden,Latvia,0
2003,Sweden,Belgium,0
2003,Sweden,Estonia,0
2003,Sweden,Romania,1
2003,Sweden,Slovenia,0
2003,Turkey,Iceland,8
2003,Turkey,Austria,6
2003,Turkey,Ireland,5
2003,Turkey,Malta,0
2003,Turkey,Bosnia-Herzegovina,12
2003,Turkey,Portugal,0
2003,Turkey,Croatia,3
2003,Turkey,Cyprus,0
2003,Turkey,Germany,0
2003,Turkey,Russia,10
2003,Turkey,Spain,2
2003,Turkey,Israel,0
2003,Turkey,Netherlands,0
2003,Turkey,United Kingdom,0
2003,Turkey,Ukraine,0
2003,Turkey,Greece,4
2003,Turkey,Norway,0
2003,Turkey,France,0
2003,Turkey,Poland,0
2003,Turkey,Latvia,0
2003,Turkey,Belgium,7
2003,Turkey,Estonia,0
2003,Turkey,Romania,1
2003,Turkey,Sweden,0
2003,Turkey,Slovenia,0
2003,Ukraine,Iceland,4
2003,Ukraine,Austria,0
2003,Ukraine,Ireland,1
2003,Ukraine,Turkey,2
2003,Ukraine,Malta,0
2003,Ukraine,Bosnia-Herzegovina,0
2003,Ukraine,Portugal,3
2003,Ukraine,Croatia,0
2003,Ukraine,Cyprus,0
2003,Ukraine,Germany,0
2003,Ukraine,Russia,12
2003,Ukraine,Spain,0
2003,Ukraine,Israel,0
2003,Ukraine,Netherlands,0
2003,Ukraine,United Kingdom,0
2003,Ukraine,Greece,0
2003,Ukraine,Norway,7
2003,Ukraine,France,0
2003,Ukraine,Poland,8
2003,Ukraine,Latvia,0
2003,Ukraine,Belgium,10
2003,Ukraine,Estonia,0
2003,Ukraine,Romania,6
2003,Ukraine,Sweden,5
2003,Ukraine,Slovenia,0
2003,United Kingdom,Iceland,0
2003,United Kingdom,Austria,8
2003,United Kingdom,Ireland,12
2003,United Kingdom,Turkey,7
2003,United Kingdom,Malta,0
2003,United Kingdom,Bosnia-Herzegovina,0
2003,United Kingdom,Portugal,0
2003,United Kingdom,Croatia,0
2003,United Kingdom,Cyprus,0
2003,United Kingdom,Germany,4
2003,United Kingdom,Russia,0
2003,United Kingdom,Spain,0
2003,United Kingdom,Israel,0
2003,United Kingdom,Netherlands,1
2003,United Kingdom,Ukraine,0
2003,United Kingdom,Greece,0
2003,United Kingdom,Norway,6
2003,United Kingdom,France,0
2003,United Kingdom,Poland,2
2003,United Kingdom,Latvia,0
2003,United Kingdom,Belgium,5
2003,United Kingdom,Estonia,3
2003,United Kingdom,Romania,0
2003,United Kingdom,Sweden,10
2003,United Kingdom,Slovenia,0
2004,Albania,Spain,0
2004,Albania,Austria,0
2004,Albania,Norway,0
2004,Albania,France,1
2004,Albania,Serbia and Montenegro,7
2004,Albania,Malta,3
2004,Albania,Netherlands,0
2004,Albania,Germany,2
2004,Albania,Ukraine,5
2004,Albania,Croatia,0
2004,Albania,Bosnia-Herzegovina,10
2004,Albania,Belgium,0
2004,Albania,Russia,0
2004,Albania,Macedonia,6
2004,Albania,Greece,12
2004,Albania,Iceland,0
2004,Albania,Ireland,0
2004,Albania,Poland,0
2004,Albania,United Kingdom,0
2004,Albania,Cyprus,0
2004,Albania,Turkey,8
2004,Albania,Romania,0
2004,Albania,Sweden,4
2004,Andorra,Spain,12
2004,Andorra,Austria,0
2004,Andorra,Norway,0
2004,Andorra,France,7
2004,Andorra,Serbia and Montenegro,2
2004,Andorra,Malta,6
2004,Andorra,Netherlands,0
2004,Andorra,Germany,0
2004,Andorra,Albania,0
2004,Andorra,Ukraine,10
2004,Andorra,Croatia,0
2004,Andorra,Bosnia-Herzegovina,0
2004,Andorra,Belgium,1
2004,Andorra,Russia,0
2004,Andorra,Macedonia,0
2004,Andorra,Greece,8
2004,Andorra,Iceland,0
2004,Andorra,Ireland,0
2004,Andorra,Poland,0
2004,Andorra,United Kingdom,0
2004,Andorra,Cyprus,4
2004,Andorra,Turkey,3
2004,Andorra,Romania,0
2004,Andorra,Sweden,5
2004,Austria,Spain,0
2004,Austria,Norway,0
2004,Austria,France,0
2004,Austria,Serbia and Montenegro,12
2004,Austria,Malta,0
2004,Austria,Netherlands,0
2004,Austria,Germany,10
2004,Austria,Albania,5
2004,Austria,Ukraine,4
2004,Austria,Croatia,3
2004,Austria,Bosnia-Herzegovina,7
2004,Austria,Belgium,0
2004,Austria,Russia,0
2004,Austria,Macedonia,0
2004,Austria,Greece,2
2004,Austria,Iceland,0
2004,Austria,Ireland,0
2004,Austria,Poland,0
2004,Austria,United Kingdom,0
2004,Austria,Cyprus,6
2004,Austria,Turkey,8
2004,Austria,Romania,0
2004,Austria,Sweden,1
2004,Belarus,Spain,2
2004,Belarus,Austria,0
2004,Belarus,Norway,0
2004,Belarus,France,0
2004,Belarus,Serbia and Montenegro,7
2004,Belarus,Malta,0
2004,Belarus,Netherlands,0
2004,Belarus,Germany,0
2004,Belarus,Albania,0
2004,Belarus,Ukraine,10
2004,Belarus,Croatia,5
2004,Belarus,Bosnia-Herzegovina,0
2004,Belarus,Belgium,0
2004,Belarus,Russia,12
2004,Belarus,Macedonia,0
2004,Belarus,Greece,6
2004,Belarus,Iceland,0
2004,Belarus,Ireland,0
2004,Belarus,Poland,0
2004,Belarus,United Kingdom,1
2004,Belarus,Cyprus,8
2004,Belarus,Turkey,3
2004,Belarus,Romania,0
2004,Belarus,Sweden,4
2004,Belgium,Spain,7
2004,Belgium,Austria,0
2004,Belgium,Norway,0
2004,Belgium,France,10
2004,Belgium,Serbia and Montenegro,3
2004,Belgium,Malta,0
2004,Belgium,Netherlands,6
2004,Belgium,Germany,0
2004,Belgium,Albania,1
2004,Belgium,Ukraine,5
2004,Belgium,Croatia,0
2004,Belgium,Bosnia-Herzegovina,0
2004,Belgium,Russia,0
2004,Belgium,Macedonia,0
2004,Belgium,Greece,8
2004,Belgium,Iceland,0
2004,Belgium,Ireland,0
2004,Belgium,Poland,0
2004,Belgium,United Kingdom,0
2004,Belgium,Cyprus,4
2004,Belgium,Turkey,12
2004,Belgium,Romania,0
2004,Belgium,Sweden,2
2004,Bosnia-Herzegovina,Spain,0
2004,Bosnia-Herzegovina,Austria,0
2004,Bosnia-Herzegovina,Norway,0
2004,Bosnia-Herzegovina,France,0
2004,Bosnia-Herzegovina,Serbia and Montenegro,12
2004,Bosnia-Herzegovina,Malta,1
2004,Bosnia-Herzegovina,Netherlands,0
2004,Bosnia-Herzegovina,Germany,3
2004,Bosnia-Herzegovina,Albania,4
2004,Bosnia-Herzegovina,Ukraine,6
2004,Bosnia-Herzegovina,Croatia,10
2004,Bosnia-Herzegovina,Belgium,0
2004,Bosnia-Herzegovina,Russia,0
2004,Bosnia-Herzegovina,Macedonia,8
2004,Bosnia-Herzegovina,Greece,5
2004,Bosnia-Herzegovina,Iceland,0
2004,Bosnia-Herzegovina,Ireland,0
2004,Bosnia-Herzegovina,Poland,0
2004,Bosnia-Herzegovina,United Kingdom,0
2004,Bosnia-Herzegovina,Cyprus,0
2004,Bosnia-Herzegovina,Turkey,7
2004,Bosnia-Herzegovina,Romania,0
2004,Bosnia-Herzegovina,Sweden,2
2004,Croatia,Spain,0
2004,Croatia,Austria,0
2004,Croatia,Norway,0
2004,Croatia,France,0
2004,Croatia,Serbia and Montenegro,12
2004,Croatia,Malta,2
2004,Croatia,Netherlands,0
2004,Croatia,Germany,1
2004,Croatia,Albania,6
2004,Croatia,Ukraine,8
2004,Croatia,Bosnia-Herzegovina,10
2004,Croatia,Belgium,0
2004,Croatia,Russia,0
2004,Croatia,Macedonia,5
2004,Croatia,Greece,7
2004,Croatia,Iceland,0
2004,Croatia,Ireland,0
2004,Croatia,Poland,0
2004,Croatia,United Kingdom,0
2004,Croatia,Cyprus,4
2004,Croatia,Turkey,3
2004,Croatia,Romania,0
2004,Croatia,Sweden,0
2004,Cyprus,Spain,7
2004,Cyprus,Austria,0
2004,Cyprus,Norway,0
2004,Cyprus,France,0
2004,Cyprus,Serbia and Montenegro,10
2004,Cyprus,Malta,0
2004,Cyprus,Netherlands,0
2004,Cyprus,Germany,0
2004,Cyprus,Albania,0
2004,Cyprus,Ukraine,8
2004,Cyprus,Croatia,0
2004,Cyprus,Bosnia-Herzegovina,0
2004,Cyprus,Belgium,1
2004,Cyprus,Russia,6
2004,Cyprus,Macedonia,0
2004,Cyprus,Greece,12
2004,Cyprus,Iceland,0
2004,Cyprus,Ireland,0
2004,Cyprus,Poland,2
2004,Cyprus,United Kingdom,0
2004,Cyprus,Turkey,4
2004,Cyprus,Romania,3
2004,Cyprus,Sweden,5
2004,Denmark,Spain,0
2004,Denmark,Austria,0
2004,Denmark,Norway,0
2004,Denmark,France,0
2004,Denmark,Serbia and Montenegro,7
2004,Denmark,Malta,1
2004,Denmark,Netherlands,0
2004,Denmark,Germany,0
2004,Denmark,Albania,4
2004,Denmark,Ukraine,5
2004,Denmark,Croatia,0
2004,Denmark,Bosnia-Herzegovina,8
2004,Denmark,Belgium,0
